iter	Passed	Remaining
211	96621	131259
212	97075	130801
213	97536	130352
214	97994	129900
215	98454	129449
216	98936	129028
217	99404	128587
218	99866	128139
219	100321	127682
220	100774	127221
221	101228	126764
222	101688	126312
223	102154	125868
224	102605	125406
225	103067	124958
226	103524	124503
227	103980	124046
228	104433	123587
229	104898	123141
230	105384	122720
231	105836	122258
232	106292	121802
233	106760	121359
234	107220	120908
235	107673	120448
236	108138	120002
237	108596	119547
238	109051	119089
239	109514	118640
240	109972	118186
241	110426	117726
242	110878	117266
243	111331	116807
244	111794	116357
245	112249	115899
246	112701	115439
247	113164	114989
248	113628	114541
249	114092	114092
250	114549	113637
251	115015	113189
252	115473	112734
253	115926	112275
254	116388	111824
255	116874	111396
256	117333	110942
257	117799	110494
258	118257	110038
259	118718	109586
260	119173	109127
261	119631	108672
262	120105	108231
263	120692	107891
264	121231	107507
265	121742	107097
266	122292	106719
267	122874	106369
268	123341	105917
269	123813	105470
270	124282	105021
271	124735	104557
272	125188	104094
273	125648	103637
274	126100	103173
275	126558	102713
276	127011	102251
277	127463	101787
278	127916	101324
279	128381	100870
280	128837	100410
281	129306	99960
282	129760	99497
283	130227	99046
284	130683	98585
285	131143	98128
286	131596	97665
287	132052	97205
288	132504	96742
289	132960	96281
290	133412	95818
291	133866	95357
292	134332	94903
293	134784	94441
294	135247	93985
295	135709	93529
296	136165	93069
297	136619	92607
298	137082	92152
299	137537	91691
300	137989	91229
301	138442	90767
302	138896	90305
303	139352	89845
304	139806	89384
305	140270	88929
306	140725	88469
307	141184	88011
308	141641	87551
309	142099	87093
310	142555	86633
311	143015	86175
312	143470	85715
313	143926	85255
314	144377	84793
315	144837	84335
316	145295	83877
317	145748	83415
318	146208	82958
319	146661	82497
320	147113	82035
321	147567	81574
322	148020	81113
323	148478	80654
324	148955	80206
325	149407	79744
326	149859	79283
327	150330	78831
328	150787	78372
329	151245	77914
330	151707	77457
331	152171	77002
332	152624	76541
333	153087	76085
334	153540	75624
335	153994	75163
336	154449	74704
337	154902	74243
338	155366	73787
339	155819	73326
340	156275	72867
341	156735	72410
342	157195	71952
343	157655	71495
344	158111	71035
345	158566	70575
346	159025	70117
347	159484	69660
348	159944	69202
349	160402	68743
350	160895	68300
351	161358	67843
352	161819	67386
353	162273	66926
354	162733	66468
355	163193	66010
356	163647	65550
357	164108	65093
358	164559	64632
359	165026	64176
360	165478	63716
361	165945	63261
362	166419	62808
363	166890	62354
364	167347	61895
365	167800	61435
366	168259	60976
367	168719	60518
368	169188	60064
369	169648	59606
370	170110	59148
371	170606	58703
372	171068	58245
373	171533	57789
374	171996	57332
375	172463	56876
376	172945	56425
377	173436	55976
378	173911	55523
379	174371	55064
380	174832	54606
381	175312	54154
382	175763	53692
383	176233	53237
384	176685	52776
385	177139	52315
386	177596	51856
387	178052	51396
388	178508	50936
389	178962	50476
390	179414	50015
391	179882	49559
392	180344	49101
393	180803	48642
394	181260	48183
395	181718	47723
396	182172	47263
397	182629	46804
398	183088	46345
399	183541	45885
400	184007	45428
401	184461	44968
402	184914	44507
403	185374	44049
404	185830	43589
405	186311	43136
406	186764	42675
407	187219	42216
408	187673	41756
409	188129	41296
410	188612	40843
411	189066	40383
412	189520	39923
413	189986	39465
414	190443	39006
415	190911	38549
416	191480	38112
417	192039	37672
418	192556	37224
419	193074	36776
420	193611	36330
421	194113	35878
422	194604	35424
423	195111	34972
424	195606	34518
425	196100	34064
426	196588	33608
427	197094	33156
428	197581	32700
429	198060	32242
430	198557	31787
431	199066	31334
432	199586	30882
433	200097	30429
434	200603	29975
435	201102	29519
436	201664	29072
437	202180	28619
438	202711	28167
439	203242	27714
440	203787	27264
441	204285	26806
442	204748	26344
443	205220	25883
444	205680	25421
445	206150	24959
446	206606	24497
447	207073	24035
448	207531	23572
449	207990	23110
450	208452	22647
451	208915	22185
452	209375	21723
453	209834	21260
454	210339	20802
455	210796	20339
456	211249	19876
457	211714	19414
458	212188	18953
459	212642	18490
460	213101	18028
461	213556	17565
462	214013	17102
463	214478	16640
464	214934	16177
465	215399	15715
466	215868	15254
467	216332	14791
468	216793	14329
469	217254	13867
470	217717	13405
471	218174	12942
472	218630	12479
473	219097	12018
474	219560	11555
475	220033	11094
476	220491	10631
477	220957	10169
478	221433	9707
479	221891	9245
480	222360	8783
481	222819	8321
482	223276	7858
483	223753	7396
484	224209	6934
485	224667	6471
486	225133	6009
487	225599	5547
488	226068	5085
489	226532	4623
490	226992	4160
491	227455	3698
492	227911	3236
493	228379	2773
494	228843	2311
495	229311	1849
496	229771	1386
497	230239	924
498	230698	462
499	231165	0
